rank,won_mvp,player,season_start,age,pos,pos_number,tm,pts_won,pts_max,vote_share,all_star_votes,g,team_wins,overall_seed,preseason_odds_rank,mp,fgm,fga,fg_perc,3pm,3pa,3p_perc,2pm,2pa,2p_perc,efg,ftm,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,ts,3par,ftr,orb_perc,drb_perc,trb_perc,ast_perc,stl_perc,blk_perc,tov_perv,usg_perc,ws,ws_per_48,vorp,bpm,offensive_raptor,defensive_raptor
6,0,Gary Payton,1995,27,PG,1,SEA,98,1130,0.087,0,81,64,2,6.5,39,7.6,15.8,0.484,1.2,3.7,0.328,6.4,12.1,0.532,0.523,2.8,3.8,0.748,1.3,2.9,4.2,7.5,2.9,0.2,3.2,2.7,19.3,19.6,0.554,0.234,0.24,4.1,8.4,6.3,33.3,3.7,0.5,15.6,23.6,11.5,0.174,5.3,4.7,3.539129942,2.444769875
7,0,Karl Malone,1995,32,PF,4,UTA,85,1130,0.075,986028,82,55,5,8,38,9.6,18.5,0.519,0.2,0.5,0.4,9.4,18,0.522,0.524,6.2,8.6,0.723,2.1,7.7,9.8,4.2,1.7,0.7,2.4,3,25.7,26,0.575,0.026,0.466,7.1,24.2,15.8,20.6,2.4,1.5,9.8,29.8,15.1,0.233,7.4,7.3,3.915247809,2.3172439
8,0,Shawn Kemp,1995,26,PF,4,SEA,73,1130,0.065,1021384,79,64,2,6.5,33.3,6.7,11.9,0.561,0.1,0.2,0.417,6.6,11.7,0.563,0.564,6.2,8.4,0.742,3.5,7.9,11.4,2.2,1.2,1.6,4,3.8,19.6,22.6,0.631,0.013,0.709,13,26.9,20.3,11.5,1.8,3.8,20.4,26.2,11.2,0.205,3.9,3.8,1.29714707,1.783748592
9,0,Grant Hill,1995,23,SF,3,DET,63,1130,0.056,1358004,80,46,12,20.5,40.8,7.1,15.3,0.462,0.1,0.3,0.192,7,14.9,0.468,0.464,6.1,8.1,0.751,1.6,8.2,9.8,6.9,1.3,0.6,3.3,3,20.2,20.9,0.537,0.021,0.529,4.9,23.4,14.5,31.4,1.7,1.2,14.9,25.9,11.7,0.172,5.8,5.1,2.32314695,1.605310906
9,0,Shaquille O'Neal,1995,23,C,5,ORL,63,1130,0.056,1290591,54,60,3,2,36,11,19.1,0.573,0,0,0.5,10.9,19.1,0.573,0.574,4.6,9.5,0.487,3.4,7.7,11,2.9,0.6,2.1,2.9,3.6,26.6,26.4,0.57,0.002,0.495,11.1,24.2,17.8,15.9,0.9,4.4,11,32.8,6.9,0.171,2.7,3.5,2.043922798,0.880433791
1,1,Karl Malone,1996,33,PF,4,UTA,986,1150,0.857,1337319,82,64,2,10,36.6,10.5,19.2,0.55,0,0.2,0,10.5,19,0.555,0.55,6.4,8.4,0.755,2.4,7.5,9.9,4.5,1.4,0.6,2.8,2.6,27.4,28.9,0.6,0.008,0.439,8.5,24.2,16.8,24.5,2,1.3,11.1,32.7,16.7,0.268,7.9,8.5,4.905205465,1.3168118
2,0,Michael Jordan,1996,33,SG,2,CHI,957,1150,0.832,2451136,82,69,1,1,37.9,11.2,23.1,0.486,1.4,3.6,0.374,9.9,19.5,0.507,0.516,5.9,7,0.833,1.4,4.5,5.9,4.3,1.7,0.5,2,1.9,29.6,27.8,0.567,0.157,0.304,4.2,13.2,8.8,21.2,2.4,1.1,7.2,33.2,18.3,0.283,6.8,6.7,6.881055355,1.765559151
3,0,Grant Hill,1996,24,SF,3,DET,376,1150,0.327,1868020,80,54,10,15.5,39.3,7.8,15.7,0.496,0.1,0.4,0.303,7.7,15.3,0.502,0.5,5.6,7.9,0.711,1.5,7.5,9,7.3,1.8,0.6,3.2,2.3,21.4,25.5,0.556,0.026,0.503,5,23.1,14.2,36,2.6,1.3,14.4,28.3,14.6,0.223,7.9,8,4.283518291,2.046329517
4,0,Tim Hardaway,1996,30,PG,1,MIA,238,1150,0.207,309220,81,61,3,8,38.7,7.1,17.1,0.415,2.5,7.3,0.344,4.6,9.8,0.469,0.489,3.6,4.5,0.799,0.6,2.8,3.4,8.6,1.9,0.1,2.8,2,20.3,20.8,0.532,0.426,0.263,1.9,8.5,5.2,41.9,2.6,0.2,13,26.6,12.9,0.198,5.6,5.1,4.834317867,1.364148807
5,0,Glen Rice,1996,29,SF,3,CHH,134,1150,0.117,199216,79,54,9,15.5,42.6,9.1,19.2,0.477,2.6,5.6,0.47,6.5,13.6,0.48,0.546,5.9,6.8,0.867,0.8,3.2,4,2,0.9,0.3,2.2,2.4,26.8,19.7,0.605,0.291,0.354,2.5,8.8,5.7,8.8,1.2,0.6,9.2,26.9,10.8,0.154,2.7,1.2,4.035984333,-1.202996977
6,0,Gary Payton,1996,28,PG,1,SEA,105,1150,0.091,1206539,82,57,6,3,39.2,8.6,18.1,0.476,1.5,4.6,0.313,7.2,13.4,0.533,0.517,3.1,4.3,0.715,1.3,3.3,4.6,7.1,2.4,0.2,2.6,2.5,21.8,21.8,0.545,0.256,0.24,4,10.2,7.1,33.8,3.3,0.3,11.6,26.4,12.9,0.193,6.2,5.6,4.859952142,1.34852158
7,0,Hakeem Olajuwon,1996,34,C,5,HOU,95,1150,0.083,1487310,78,57,4,4.5,36.6,9.3,18.3,0.51,0.1,0.2,0.313,9.3,18.1,0.512,0.512,4.5,5.7,0.787,2.2,7,9.2,3,1.5,2.2,3.6,3.2,23.2,22.7,0.558,0.011,0.313,7.4,21,14.5,16.2,2.1,4.5,14.8,30.4,9.1,0.154,3.7,3.2,-0.10278254,3.495502666
8,0,Patrick Ewing,1996,34,C,5,NYK,57,1150,0.05,1395759,78,57,5,4.5,37,8.4,17.2,0.488,0,0.1,0.222,8.4,17.1,0.49,0.489,5.6,7.5,0.754,2.2,8.4,10.7,2,0.9,2.4,3.4,3.2,22.4,21.3,0.548,0.007,0.434,7.5,26.4,17.3,10.8,1.3,5.3,14.4,29.8,9.8,0.163,2.7,1.7,-2.080172655,4.226689401
9,0,Anthony Mason,1996,30,PF,4,CHH,7,1150,0.006,0,73,54,9,15.5,43.1,5.9,11.3,0.525,0,0,0.333,5.9,11.3,0.526,0.525,4.4,5.9,0.745,2.5,8.8,11.4,5.7,1,0.5,2.3,2.8,16.2,18.9,0.585,0.004,0.519,7.4,24,16,21.4,1.3,0.8,14,17.6,11.4,0.173,5.2,4.5,2.465056596,0.009626604
9,0,Shaquille O'Neal,1996,24,C,5,LAL,7,1150,0.006,1305941,51,56,8,2,38.1,10.8,19.4,0.557,0,0.1,0,10.8,19.4,0.559,0.557,4.5,9.4,0.484,3.8,8.7,12.5,3.1,0.9,2.9,2.9,3.5,26.2,27.1,0.556,0.004,0.483,11.6,25.9,18.8,17.3,1.2,5.8,10.8,31.1,8,0.197,4,6.3,1.847456662,2.812783411
1,1,Michael Jordan,1997,34,SG,2,CHI,1084,1160,0.934,1028235,82,62,1,1,38.8,10.7,23.1,0.465,0.4,1.5,0.238,10.4,21.5,0.482,0.473,6.9,8.8,0.784,1.6,4.2,5.8,3.5,1.7,0.5,2.3,1.8,28.7,25.2,0.533,0.067,0.381,4.7,12.5,8.5,18,2.4,1,7.7,33.7,15.8,0.238,5.3,4.6,4.333272937,1.61966923
2,0,Karl Malone,1997,34,PF,4,UTA,842,1160,0.726,616251,81,62,2,2,37.4,9.6,18.2,0.53,0,0.1,0.333,9.6,18.1,0.531,0.531,7.8,10.2,0.761,2.3,8,10.3,3.9,1.2,0.9,3,2.9,27,27.9,0.597,0.004,0.56,8.3,24.8,17.1,20.9,1.7,1.7,11.9,31.8,16.4,0.259,6.9,7,4.881550268,1.043500217
3,0,Gary Payton,1997,29,PG,1,SEA,431,1160,0.372,555715,82,61,4,4.5,38.4,7.1,15.6,0.453,1.6,4.8,0.338,5.4,10.7,0.505,0.505,3.4,4.6,0.744,0.9,3.6,4.6,8.3,2.3,0.2,2.8,2.4,19.2,21.6,0.544,0.311,0.293,3,11.2,7.1,36.7,3.1,0.4,13.7,24.6,12.5,0.19,5.6,5,5.58534148,0.838832054
4,0,Shaquille O'Neal,1997,25,C,5,LAL,311,1160,0.268,565184,60,61,3,3,36.3,11.2,19.1,0.584,0,0,0,11.2,19.1,0.584,0.584,6,11.4,0.527,3.5,7.9,11.4,2.4,0.7,2.4,2.9,3.2,28.3,28.8,0.587,0,0.594,11.1,24,17.7,13.5,0.9,4.6,10.8,32.9,10.2,0.224,3.6,4.6,3.296441688,0.972407122
5,0,Tim Duncan,1997,21,PF,4,SAS,148,1160,0.128,423970,82,56,7,4.5,39.1,8.6,15.7,0.549,0,0.1,0,8.6,15.6,0.553,0.549,3.9,5.9,0.662,3.3,8.6,11.9,2.7,0.7,2.5,3.4,3.1,21.1,22.6,0.577,0.008,0.375,10.5,23.8,17.6,13.7,0.9,4.5,15.7,26,12.8,0.192,6,5.5,0.977227094,1.968159268
6,0,Tim Hardaway,1997,31,PG,1,MIA,71,1160,0.061,349621,81,55,8,7.5,37.4,6.9,16,0.431,1.9,5.5,0.351,5,10.5,0.472,0.49,3.2,4.1,0.781,0.6,3.1,3.7,8.3,1.7,0.2,2.8,2.5,18.9,20.6,0.53,0.341,0.254,1.9,9.4,5.8,41.3,2.4,0.4,13.5,25.6,11.7,0.185,5.1,4.6,5.085334537,0.486968739
7,0,David Robinson,1997,32,C,5,SAS,36,1160,0.031,548633,73,56,7,4.5,33.7,7.5,14.6,0.511,0,0.1,0.25,7.4,14.5,0.512,0.511,6.6,9,0.735,3.3,7.3,10.6,2.7,0.9,2.6,2.8,2.8,21.6,27.8,0.581,0.004,0.62,12,23.7,18.2,15.9,1.4,5.5,13,29.7,13.8,0.269,6.1,7.8,2.034303007,4.872373563
8,0,Vin Baker,1997,26,C,5,SEA,24,1160,0.021,360079,82,61,4,4.5,35.9,7.7,14.2,0.542,0,0.1,0.143,7.7,14.1,0.545,0.543,3.8,6.4,0.591,3.5,4.5,8,1.9,1.1,1,2.1,3.4,19.2,20.4,0.564,0.006,0.452,11.8,14.8,13.3,9.3,1.7,2.2,11.1,24.7,10.4,0.169,3,2,0.898923167,0.802936074
9,0,Grant Hill,1997,25,SF,3,DET,23,1160,0.02,838692,81,37,19,9.5,40.7,7.6,16.8,0.452,0,0.3,0.143,7.6,16.5,0.457,0.453,5.9,8,0.74,1.1,6.5,7.7,6.8,1.8,0.7,3.5,2.4,21.1,21.2,0.52,0.015,0.475,3.3,19.3,11.3,31.5,2.4,1.2,14.8,27.3,10.2,0.149,5.6,4.8,1.930164037,1.466597635
10,0,Scottie Pippen,1997,32,SF,3,CHI,14,1160,0.012,475894,44,62,1,1,37.5,7.2,16,0.447,1.4,4.4,0.318,5.8,11.6,0.496,0.491,3.4,4.4,0.777,1.2,4,5.2,5.8,1.8,1,2.5,2.6,19.1,20.4,0.533,0.273,0.274,3.7,12.1,7.9,26.5,2.6,1.9,12.1,24.4,6.6,0.193,3.2,5.8,3.949805724,2.769197337
1,1,Karl Malone,1998,35,PF,4,UTA,827,1180,0.701,0,80.36,60.68,2,2,37.4,8,16.3,0.493,0,0,0,8,16.2,0.494,0.493,7.7,9.8,0.788,2.2,7.3,9.4,4.1,1.3,0.6,3.3,2.7,23.8,25.6,0.577,0.001,0.602,7.7,22.1,15.4,23,1.9,1.2,13.8,30.5,16.1007,0.252,6.585142667,6.8,3.099205042,1.189596935
2,0,Alonzo Mourning,1998,28,C,5,MIA,773,1180,0.655,0,75.44,54.12,5,6,38.1,7,13.8,0.511,0,0,0,7,13.7,0.513,0.511,6,9.2,0.652,3.6,7.4,11,1.6,0.7,3.9,3,3.5,20.1,24.6,0.563,0.003,0.667,12.3,22,17.5,8.7,1.1,7.7,14.5,27.1,14.0589,0.216,4.568444,4.8,0.403894157,3.930777053
3,0,Tim Duncan,1998,22,PF,4,SAS,740,1180,0.627,0,82,60.68,1,3.5,39.3,8.4,16.9,0.495,0,0.1,0.143,8.3,16.8,0.498,0.495,4.9,7.2,0.69,3.2,8.2,11.4,2.4,0.9,2.5,2.9,2.9,21.7,23.2,0.541,0.008,0.424,9.7,22.2,16.3,12.1,1.2,4.4,12.7,27.2,14.3002875,0.213,5.649375,4.9,1.579271806,2.311067229
4,0,Allen Iverson,1998,23,SG,2,PHI,319,1180,0.27,0,78.72,45.92,12,21.5,41.5,9.1,22,0.412,1.2,4.1,0.291,7.9,17.9,0.44,0.439,7.4,9.9,0.751,1.4,3.5,4.9,4.6,2.3,0.1,3.5,2,26.8,22.2,0.508,0.188,0.449,3.8,10.1,6.9,24.2,3,0.3,11.7,32.6,12.26497917,0.173,5.25888,4.6,2.884889446,0.704849667
5,0,Jason Kidd,1998,25,PG,1,PHO,159,1180,0.135,0,82,44.28,14,10,41.2,6.2,14,0.444,0.9,2.5,0.366,5.3,11.5,0.461,0.476,3.6,4.8,0.757,1.7,5,6.8,10.8,2.3,0.4,3,2.2,16.9,22.5,0.527,0.176,0.342,4.8,14.5,9.6,44,3,0.7,15.7,21.4,13.23206667,0.188,6.695,5.8,5.286561126,0.951846309
6,0,Shaquille O'Neal,1998,26,C,5,LAL,89,1180,0.075,0,80.36,50.84,9,1,34.8,10.4,18.1,0.576,0,0,0,10.4,18,0.577,0.576,5.5,10.2,0.54,3.8,6.9,10.7,2.3,0.7,1.7,2.5,3.2,26.3,30.6,0.584,0.001,0.563,13.1,22.6,18,14.4,1.1,3.5,10,32.4,15.15975,0.255,5.779207,6.3,4.284741495,0.524601712
7,0,Chris Webber,1998,25,PF,4,SAC,51,1180,0.043,0,68.88,44.28,15,24,40.9,9,18.5,0.486,0.1,0.8,0.118,8.9,17.7,0.503,0.488,1.9,4.1,0.454,3.5,9.4,13,4.1,1.4,2.1,3.5,3.5,20,19.5,0.491,0.044,0.224,9.2,24.2,16.7,17.8,1.7,3.3,14.8,24.9,7.126825,0.102,3.00615,3,-0.920810142,1.471080812
8,0,Grant Hill,1998,26,SF,3,DET,39,1180,0.033,0,82,47.56,10,14,37,7.7,16,0.479,0,0.3,0,7.7,15.8,0.487,0.479,5.7,7.6,0.752,1.3,5.8,7.1,6,1.6,0.5,3.7,2.3,21.1,23.9,0.543,0.017,0.473,4.3,19.3,11.7,33.6,2.4,1.2,16,29.6,11.946375,0.189,6.166666667,6,3.298768608,1.03186744
9,0,Gary Payton,1998,30,PG,1,SEA,35,1180,0.03,0,82,41,18,8,40.2,8,18.5,0.434,1.7,5.6,0.295,6.4,12.8,0.495,0.479,4,5.5,0.721,1.2,3.6,4.9,8.7,2.2,0.2,3.1,2.3,21.7,23.1,0.519,0.304,0.299,3.5,10.6,7,41.3,2.9,0.4,12.9,27.1,11.8121,0.172,6.1975,5.4,5.525856003,0.357127795
10,0,Kevin Garnett,1998,22,PF,4,MIN,9,1180,0.008,0,77.08,41,17,15.5,37.9,8.8,19.1,0.46,0.1,0.3,0.286,8.7,18.9,0.463,0.462,3.1,4.4,0.704,3.5,6.9,10.4,4.3,1.7,1.8,2.9,3.2,20.8,22.4,0.493,0.016,0.229,9.7,22,15.4,21.3,2.3,3.5,12,27.8,9.452891667,0.146,5.372103917,5.7,1.128739278,2.017287671
1,1,Shaquille O'Neal,1999,27,C,5,LAL,1207,1210,0.998,1807609,79,67,1,2,40,12.1,21.1,0.574,0,0,0,12.1,21.1,0.575,0.574,5.5,10.4,0.524,4.3,9.4,13.6,3.8,0.5,3,2.8,3.2,29.7,30.6,0.578,0.001,0.495,11.5,24.8,18.3,19.3,0.6,5.3,9.9,31.2,18.6,0.283,9.3,9.7,4.392065114,3.15857055
2,0,Kevin Garnett,1999,23,PF,4,MIN,408,1210,0.337,1550976,81,50,8,16.5,40,9.4,18.8,0.497,0.4,1,0.37,9,17.8,0.504,0.507,3.8,5,0.765,2.8,9,11.8,5,1.5,1.6,3.3,2.5,22.9,23.6,0.545,0.053,0.265,7.9,26.6,17.1,21.5,1.9,2.8,13.6,27.4,11.6,0.172,6.6,6.1,2.250017118,1.757785426
3,0,Alonzo Mourning,1999,29,C,5,MIA,367,1210,0.303,1878588,79,52,7,5,34.8,8.3,15,0.551,0,0.1,0,8.3,14.9,0.553,0.551,5.2,7.4,0.711,2.7,6.8,9.5,1.6,0.5,3.7,2.7,3.9,21.7,25.8,0.596,0.003,0.492,9.5,21.6,15.9,8.7,0.8,7.8,13.1,28.1,12.9,0.226,4.6,4.6,0.545253287,3.490962649
4,0,Karl Malone,1999,36,PF,4,UTA,312,1210,0.258,327599,82,55,4,5,35.9,9.2,18,0.509,0,0.1,0.25,9.1,17.9,0.511,0.51,7.2,9,0.797,2.1,7.4,9.5,3.7,1,0.9,2.8,2.8,25.5,27.1,0.582,0.005,0.501,7.1,24.7,16.1,20.9,1.4,1.9,11.4,31.9,15.3,0.249,6.6,6.9,3.978292145,0.602516138
5,0,Tim Duncan,1999,23,PF,4,SAS,248,1210,0.205,1321436,74,53,6,3,38.9,8.5,17.3,0.49,0,0.1,0.091,8.5,17.2,0.494,0.491,6.2,8.1,0.761,3.5,8.9,12.4,3.2,0.9,2.2,3.3,2.8,23.2,24.8,0.555,0.009,0.471,10.8,24.8,18.1,15.5,1.2,4,13.5,28.7,13,0.218,5.9,6.1,2.181471716,2.096514225
6,0,Gary Payton,1999,31,PG,1,SEA,180,1210,0.149,898601,82,45,12,19,41.8,9.1,20.3,0.448,2.2,6.3,0.34,7,14,0.497,0.502,3.8,5.2,0.735,1.2,5.2,6.5,8.9,1.9,0.2,2.7,2.2,24.2,23.6,0.535,0.312,0.254,3.2,13.9,8.5,37.7,2.3,0.4,10.8,26.8,13.9,0.195,7.6,6.8,5.714894832,0.585893864
7,0,Allen Iverson,1999,24,SG,2,PHI,132,1210,0.109,1843011,70,49,11,16.5,40.8,10.4,24.8,0.421,1.3,3.7,0.341,9.1,21,0.435,0.446,6.3,8.9,0.713,1,2.8,3.8,4.7,2.1,0.1,3.3,2.3,28.4,20,0.496,0.151,0.358,2.7,7.7,5.2,23,2.6,0.1,10.3,34.4,6.9,0.116,3.3,2.6,0.976933854,0.327570783
8,0,Grant Hill,1999,27,SF,3,DET,113,1210,0.093,1371304,74,42,15,12.5,37.5,9.4,19.2,0.489,0.5,1.3,0.347,8.9,17.9,0.5,0.501,6.5,8.2,0.795,1.3,5.3,6.6,5.2,1.4,0.6,3.2,2.6,25.8,24.5,0.565,0.069,0.425,4.1,16.4,10.2,26.8,1.9,1.1,12.4,30.5,10.7,0.185,4.7,4.8,3.833085192,0.093660973
9,0,Chris Webber,1999,26,PF,4,SAC,96,1210,0.079,661865,75,44,14,12.5,38.4,10,20.6,0.483,0.4,1.3,0.284,9.6,19.4,0.496,0.492,4.1,5.5,0.751,2.5,8,10.5,4.6,1.6,1.7,2.9,3.5,24.5,23.4,0.53,0.061,0.267,6.8,21.8,14.3,21.1,2,2.9,11.2,28.2,10.7,0.179,5.7,5.9,2.045576816,1.957906415
10,0,Vince Carter,1999,23,SF,3,TOR,51,1210,0.042,1911973,82,45,13,20,38.1,9.6,20.7,0.465,1.2,2.9,0.403,8.5,17.8,0.475,0.493,5.3,6.7,0.791,1.8,4,5.8,3.9,1.3,1.1,2.2,3.2,25.7,23.4,0.543,0.139,0.325,5.2,12.1,8.5,20.5,1.8,2.1,8.4,30,11.8,0.182,5.2,4.6,3.578793098,0.129757958
1,1,Allen Iverson,2000,25,SG,2,PHI,1121,1240,0.904,1508142,71,56,3,11,42,10.7,25.5,0.42,1.4,4.3,0.32,9.4,21.2,0.441,0.447,8.2,10.1,0.814,0.7,3.1,3.8,4.6,2.5,0.3,3.3,2.1,31.1,24,0.518,0.169,0.397,1.9,8.3,5.2,23,3.2,0.5,10,35.9,11.8,0.19,5.1,4.8,3.493333163,0.646255665
2,0,Tim Duncan,2000,24,PF,4,SAS,706,1240,0.569,1096522,82,56,1,2.5,38.7,8.6,17.1,0.499,0.1,0.3,0.259,8.5,16.8,0.504,0.502,5,8.1,0.618,3.2,9,12.2,3,0.9,2.3,3,3,22.2,23.8,0.536,0.019,0.471,9.7,25.1,17.8,15.3,1.2,4.2,12.5,28.7,13.2,0.2,5.9,5.4,1.840179547,3.896793712
3,0,Shaquille O'Neal,2000,28,C,5,LAL,578,1240,0.466,1541298,74,56,2,1,39.5,11,19.2,0.572,0,0,0,11,19.2,0.573,0.572,6.7,13.1,0.513,3.9,8.8,12.7,3.7,0.6,2.8,2.9,3.5,28.7,30.2,0.574,0.001,0.684,11.3,24.8,18.1,18.8,0.8,4.9,10.5,31.6,14.9,0.245,5.8,7.3,4.776321994,1.443197681
4,0,Chris Webber,2000,27,PF,4,SAC,521,1240,0.42,1306243,70,55,4,15,40.5,11.2,23.4,0.481,0,0.4,0.071,11.2,23,0.488,0.481,4.6,6.6,0.703,2.6,8.5,11.1,4.2,1.3,1.7,2.8,3.2,27.1,24.7,0.516,0.017,0.282,7,22.1,14.8,20.6,1.7,2.8,9.6,31.6,11,0.186,4.9,4.9,0.960508809,2.153563917
5,0,Kevin Garnett,2000,24,PF,4,MIN,151,1240,0.122,1003336,81,47,12,8,39.5,8.7,18.2,0.477,0.2,0.8,0.288,8.5,17.4,0.486,0.484,4.4,5.8,0.764,2.7,8.7,11.4,5,1.4,1.8,2.8,2.5,22,23.9,0.531,0.045,0.317,7.7,25.3,16.4,21.8,1.8,3.2,12,27,11.8,0.176,6.2,5.7,2.244422464,2.153502024
6,0,Tracy McGrady,2000,21,SG,2,ORL,64,1240,0.052,827122,77,43,17,5,40.1,10.2,22.4,0.457,0.8,2.2,0.355,9.5,20.2,0.468,0.474,5.6,7.6,0.733,2.5,5,7.5,4.6,1.5,1.5,2.6,2.1,26.8,24.9,0.521,0.096,0.34,6.7,14.3,10.4,22.8,1.9,2.8,9.1,31.2,12.2,0.189,5.9,5.6,4.041229209,1.945232597
7,0,Karl Malone,2000,37,PF,4,UTA,21,1240,0.017,479624,81,53,6,8,35.7,8.3,16.6,0.498,0,0.1,0.4,8.2,16.5,0.499,0.499,6.6,8.3,0.793,1.4,6.9,8.3,4.5,1.1,0.8,3,2.7,23.2,24.7,0.572,0.004,0.503,5,23.3,14.3,24.1,1.7,1.7,12.9,30,13.1,0.217,5.8,5.9,3.140444735,-0.466309387
8,0,Jason Kidd,2000,27,PG,1,PHO,18,1240,0.015,1062837,77,51,8,8,39.8,5.9,14.2,0.411,0.9,3,0.297,5,11.2,0.442,0.443,4.3,5.2,0.814,1.2,5.2,6.4,9.8,2.2,0.3,3.7,2.2,16.9,19.4,0.51,0.211,0.367,3.3,15.2,9.1,41.2,2.8,0.5,18.3,22.7,9.6,0.15,5.3,4.8,2.191378428,2.285140298
9,0,Kobe Bryant,2000,22,SG,2,LAL,11,1240,0.009,1433747,68,56,2,1,40.9,10.3,22.2,0.464,0.9,2.9,0.305,9.4,19.3,0.489,0.484,7,8.2,0.853,1.5,4.3,5.9,5,1.7,0.6,3.2,3.3,28.5,24.5,0.552,0.132,0.369,4.3,11.8,8.1,23,2.1,1.1,11.1,31.8,11.3,0.196,4.4,4.2,5.27666868,1.113544014
10,0,David Robinson,2000,35,C,5,SAS,8,1240,0.006,716228,80,56,1,2.5,29.6,5,10.3,0.486,0,0,0,5,10.3,0.487,0.486,4.4,5.9,0.747,2.6,6,8.6,1.5,1,2.5,1.5,2.7,14.4,23.7,0.559,0.001,0.571,10.4,22,16.5,8.8,1.8,5.8,10.6,22.8,12.1,0.246,4.5,5.5,0.640909363,6.084678167
1,1,Tim Duncan,2001,25,PF,4,SAS,954,1260,0.757,762289,82,58,3,2,40.6,9.3,18.3,0.508,0,0.1,0.1,9.3,18.2,0.511,0.508,6.8,8.5,0.799,3.3,9.4,12.7,3.7,0.7,2.5,3.2,2.6,25.5,27,0.576,0.007,0.466,9.6,25.9,18,18.3,1,4.3,12.7,29,17.8,0.257,8.1,7.6,3.617258605,3.483545582
2,0,Jason Kidd,2001,28,PG,1,NJN,897,1260,0.712,442630,82,52,5,23,37.3,5.4,13.9,0.391,1.4,4.4,0.321,4,9.4,0.424,0.442,2.5,3,0.814,1.6,5.7,7.3,9.9,2.1,0.2,3.5,1.7,14.7,19.1,0.484,0.32,0.217,4.7,17.2,10.9,42.5,3,0.5,18.7,22.5,8.9,0.14,5.4,5.1,4.108294562,2.111637403
3,0,Shaquille O'Neal,2001,29,C,5,LAL,696,1260,0.552,1247438,67,58,2,1,36.1,10.6,18.3,0.579,0,0,0,10.6,18.3,0.58,0.579,5.9,10.7,0.555,3.5,7.2,10.7,3,0.6,2,2.6,3,27.2,29.7,0.59,0.001,0.583,10.8,21.6,16.3,16.4,0.9,4.1,10,31.8,13.2,0.262,5.5,7,4.239287677,3.422637576
