Rank,Player,Age,Tm,Pts Won,Pts Max,Share,G,Team Wins,Overall Seed,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,VORP,BPM,G-Lockout,Wins-Lockout,WS-Lockout,VORP-Lockout
1,Charles Barkley,29,PHO,835,980,0.852,76,62,1,37.6,25.6,12.2,5.1,1.6,1,0.52,0.305,0.765,14.4,0.242,7.5,8.3,,,,
2,Hakeem Olajuwon,30,HOU,647,980,0.66,82,55,4,39.5,26.1,13,3.5,1.8,4.2,0.529,0,0.779,15.8,0.234,8.5,8.4,,,,
3,Michael Jordan,29,CHI,565,980,0.577,78,57,3,39.3,32.6,6.7,5.5,2.8,0.8,0.495,0.352,0.837,17.2,0.27,8.9,9.5,,,,
4,Patrick Ewing,30,NYK,359,980,0.366,81,60,2,37.1,24.2,12.1,1.9,0.9,2,0.503,0.143,0.719,10.6,0.17,3.2,2.2,,,,
5,Dominique Wilkins,33,ATL,54,980,0.055,71,43,12,37.3,29.9,6.8,3.2,1,0.4,0.468,0.38,0.828,10.5,0.191,3.7,3.6,,,,
6,David Robinson,27,SAS,33,980,0.034,82,49,8,39.2,23.4,11.7,3.7,1.5,3.2,0.501,0.176,0.732,13.2,0.197,7,6.7,,,,
7,Shaquille O'Neal,20,ORL,30,980,0.031,81,41,16,37.9,23.4,13.9,1.9,0.7,3.5,0.562,0,0.592,10.4,0.163,4.4,3.7,,,,
8,Karl Malone,29,UTA,10,980,0.01,82,47,10,37.8,27,11.2,3.8,1.5,1,0.552,0.2,0.74,15.4,0.238,7.6,7.6,,,,
8,Mark Price,28,CLE,10,980,0.01,75,54,6,31.7,18.2,2.7,8,1.2,0.1,0.484,0.416,0.948,9.8,0.197,3.1,3.2,,,,
1,Hakeem Olajuwon,31,HOU,889,1010,0.88,80,58,2,41,27.3,11.9,3.6,1.6,3.7,0.528,0.421,0.716,14.3,0.21,7.4,7,,,,
2,David Robinson,28,SAS,730,1010,0.723,80,55,7,40.5,29.8,10.7,4.8,1.7,3.3,0.507,0.345,0.749,20,0.296,10.6,10.9,,,,
3,Scottie Pippen,28,CHI,390,1010,0.386,72,55,6,38.3,22,8.7,5.6,2.9,0.8,0.491,0.32,0.66,11.2,0.194,7.2,8.3,,,,
4,Shaquille O'Neal,21,ORL,289,1010,0.286,81,50,10,39.8,29.3,13.2,2.4,0.9,2.9,0.599,0,0.554,16.9,0.252,7.1,6.6,,,,
5,Patrick Ewing,31,NYK,255,1010,0.252,79,57,4,37.6,24.5,11.2,2.3,1.1,2.7,0.496,0.286,0.765,13.1,0.211,4.9,4.5,,,,
6,Gary Payton,25,SEA,20,1010,0.02,82,63,1,35.1,16.5,3.3,6,2.3,0.2,0.504,0.278,0.595,9.3,0.155,3.5,2.8,,,,
7,Shawn Kemp,24,SEA,17,1010,0.017,79,63,1,32.9,18.1,10.8,2.6,1.8,2.1,0.538,0.25,0.741,11.7,0.216,5.6,6.5,,,,
7,Karl Malone,30,UTA,17,1010,0.017,82,53,8,40.6,25.2,11.5,4,1.5,1.5,0.497,0.25,0.694,13.4,0.193,6.9,6.3,,,,
9,Mark Price,29,CLE,7,1010,0.007,76,47,11,31.4,17.3,3,7.8,1.4,0.1,0.478,0.397,0.888,10,0.201,3.9,4.6,,,,
10,Charles Barkley,30,PHO,5,1010,0.005,65,56,5,35.4,21.6,11.2,4.6,1.6,0.6,0.495,0.27,0.704,8.8,0.185,4.5,5.7,,,,
1,David Robinson,29,SAS,901,1050,0.858,81,62,1,38,27.6,10.8,2.9,1.7,3.2,0.53,0.3,0.774,17.5,0.273,8.1,8.4,,,,
2,Shaquille O'Neal,22,ORL,605,1050,0.576,79,57,4,37,29.3,11.4,2.7,0.9,2.4,0.583,0,0.533,14,0.23,5.4,5.4,,,,
3,Karl Malone,31,UTA,532,1050,0.507,82,60,2,38.1,26.7,10.6,3.5,1.6,1,0.536,0.268,0.742,13.8,0.212,6.1,5.8,,,,
4,Patrick Ewing,32,NYK,230,1050,0.219,79,55,6,37,23.9,11,2.7,0.9,2,0.503,0.286,0.75,9.6,0.157,3.1,2.2,,,,
5,Hakeem Olajuwon,32,HOU,147,1050,0.14,72,47,11,39.6,27.8,10.8,3.5,1.8,3.4,0.517,0.188,0.756,10.7,0.181,5.3,5.3,,,,
6,Charles Barkley,31,PHO,96,1050,0.091,68,59,3,35,23,11.1,4.1,1.6,0.7,0.486,0.338,0.748,10.6,0.214,5.1,6.4,,,,
7,Scottie Pippen,29,CHI,83,1050,0.079,79,47,10,38.2,21.4,8.1,5.2,2.9,1.1,0.48,0.345,0.716,11.8,0.188,7.4,7.8,,,,
8,John Stockton,32,UTA,47,1050,0.045,82,60,2,35,14.7,3.1,12.3,2.4,0.3,0.542,0.449,0.804,13.9,0.233,5.4,5.5,,,,
9,Gary Payton,26,SEA,34,1050,0.032,82,57,5,36.8,20.6,3.4,7.1,2.5,0.2,0.509,0.302,0.716,11.7,0.187,5,4.5,,,,
10,Anfernee Hardaway,23,ORL,23,1050,0.022,77,57,4,37.7,20.9,4.4,7.2,1.7,0.3,0.512,0.349,0.769,10.7,0.177,4.5,4.2,,,,
1,Michael Jordan,32,CHI,1114,1130,0.986,82,72,1,37.7,30.4,6.6,4.3,2.2,0.5,0.495,0.427,0.834,20.4,0.317,8.3,8.6,,,,
2,David Robinson,30,SAS,574,1130,0.508,82,59,4,36.8,25,12.2,3,1.4,3.3,0.516,0.333,0.761,18.3,0.29,8.5,9.2,,,,
3,Anfernee Hardaway,24,ORL,360,1130,0.319,82,60,3,36.8,21.7,4.3,7.1,2,0.5,0.513,0.314,0.767,14.4,0.229,6.4,6.4,,,,
4,Hakeem Olajuwon,33,HOU,238,1130,0.211,72,48,8,38.8,26.9,10.9,3.6,1.6,2.9,0.514,0.214,0.724,9.7,0.166,4.7,4.6,,,,
5,Scottie Pippen,30,CHI,226,1130,0.2,77,72,1,36.7,19.4,6.4,5.9,1.7,0.7,0.463,0.374,0.679,12.3,0.209,6.3,6.8,,,,
6,Gary Payton,27,SEA,98,1130,0.087,81,64,2,39,19.3,4.2,7.5,2.9,0.2,0.484,0.328,0.748,11.5,0.174,5.3,4.7,,,,
7,Karl Malone,32,UTA,85,1130,0.075,82,55,5,38,25.7,9.8,4.2,1.7,0.7,0.519,0.4,0.723,15.1,0.233,7.4,7.3,,,,
8,Shawn Kemp,26,SEA,73,1130,0.065,79,64,2,33.3,19.6,11.4,2.2,1.2,1.6,0.561,0.417,0.742,11.2,0.205,3.9,3.8,,,,
9,Grant Hill,23,DET,63,1130,0.056,80,46,12,40.8,20.2,9.8,6.9,1.3,0.6,0.462,0.192,0.751,11.7,0.172,5.8,5.1,,,,
9,Shaquille O'Neal,23,ORL,63,1130,0.056,54,60,3,36,26.6,11,2.9,0.6,2.1,0.573,0.5,0.487,6.9,0.171,2.7,3.5,,,,
1,Karl Malone,33,UTA,986,1150,0.857,82,64,2,36.6,27.4,9.9,4.5,1.4,0.6,0.55,0,0.755,16.7,0.268,7.9,8.5,,,,
2,Michael Jordan,33,CHI,957,1150,0.832,82,69,1,37.9,29.6,5.9,4.3,1.7,0.5,0.486,0.374,0.833,18.3,0.283,6.8,6.7,,,,
3,Grant Hill,24,DET,376,1150,0.327,80,54,10,39.3,21.4,9,7.3,1.8,0.6,0.496,0.303,0.711,14.6,0.223,7.9,8,,,,
4,Tim Hardaway,30,MIA,238,1150,0.207,81,61,3,38.7,20.3,3.4,8.6,1.9,0.1,0.415,0.344,0.799,12.9,0.198,5.6,5.1,,,,
5,Glen Rice,29,CHH,134,1150,0.117,79,54,9,42.6,26.8,4,2,0.9,0.3,0.477,0.47,0.867,10.8,0.154,2.7,1.2,,,,
6,Gary Payton,28,SEA,105,1150,0.091,82,57,6,39.2,21.8,4.6,7.1,2.4,0.2,0.476,0.313,0.715,12.9,0.193,6.2,5.6,,,,
7,Hakeem Olajuwon,34,HOU,95,1150,0.083,78,57,4,36.6,23.2,9.2,3,1.5,2.2,0.51,0.313,0.787,9.1,0.154,3.7,3.2,,,,
8,Patrick Ewing,34,NYK,57,1150,0.05,78,57,5,37,22.4,10.7,2,0.9,2.4,0.488,0.222,0.754,9.8,0.163,2.7,1.7,,,,
9,Anthony Mason,30,CHH,7,1150,0.006,73,54,9,43.1,16.2,11.4,5.7,1,0.5,0.525,0.333,0.745,11.4,0.173,5.2,4.5,,,,
9,Shaquille O'Neal,24,LAL,7,1150,0.006,51,56,8,38.1,26.2,12.5,3.1,0.9,2.9,0.557,0,0.484,8,0.197,4,6.3,,,,
1,Michael Jordan,34,CHI,1084,1160,0.934,82,62,1,38.8,28.7,5.8,3.5,1.7,0.5,0.465,0.238,0.784,15.8,0.238,5.3,4.6,,,,
2,Karl Malone,34,UTA,842,1160,0.726,81,62,2,37.4,27,10.3,3.9,1.2,0.9,0.53,0.333,0.761,16.4,0.259,6.9,7,,,,
3,Gary Payton,29,SEA,431,1160,0.372,82,61,4,38.4,19.2,4.6,8.3,2.3,0.2,0.453,0.338,0.744,12.5,0.19,5.6,5,,,,
4,Shaquille O'Neal,25,LAL,311,1160,0.268,60,61,3,36.3,28.3,11.4,2.4,0.7,2.4,0.584,0,0.527,10.2,0.224,3.6,4.6,,,,
5,Tim Duncan,21,SAS,148,1160,0.128,82,56,7,39.1,21.1,11.9,2.7,0.7,2.5,0.549,0,0.662,12.8,0.192,6,5.5,,,,
6,Tim Hardaway,31,MIA,71,1160,0.061,81,55,8,37.4,18.9,3.7,8.3,1.7,0.2,0.431,0.351,0.781,11.7,0.185,5.1,4.6,,,,
7,David Robinson,32,SAS,36,1160,0.031,73,56,7,33.7,21.6,10.6,2.7,0.9,2.6,0.511,0.25,0.735,13.8,0.269,6.1,7.8,,,,
8,Vin Baker,26,SEA,24,1160,0.021,82,61,4,35.9,19.2,8,1.9,1.1,1,0.542,0.143,0.591,10.4,0.169,3,2,,,,
9,Grant Hill,25,DET,23,1160,0.02,81,37,19,40.7,21.1,7.7,6.8,1.8,0.7,0.452,0.143,0.74,10.2,0.149,5.6,4.8,,,,
10,Scottie Pippen,32,CHI,14,1160,0.012,44,62,1,37.5,19.1,5.2,5.8,1.8,1,0.447,0.318,0.777,6.6,0.193,3.2,5.8,,,,
1,Karl Malone,35,UTA,827,1180,0.701,80.36,60.68,2,37.4,23.8,9.4,4.1,1.3,0.6,0.493,0,0.788,16.1007,0.252,6.585142667,6.8,49,37,9.6,4.1
2,Alonzo Mourning,28,MIA,773,1180,0.655,75.44,54.12,5,38.1,20.1,11,1.6,0.7,3.9,0.511,0,0.652,14.0589,0.216,4.568444,4.8,46,33,7.9,3
3,Tim Duncan,22,SAS,740,1180,0.627,82,60.68,1,39.3,21.7,11.4,2.4,0.9,2.5,0.495,0.143,0.69,14.3002875,0.213,5.649375,4.9,50,37,8.7,3.4
4,Allen Iverson,23,PHI,319,1180,0.27,78.72,45.92,12,41.5,26.8,4.9,4.6,2.3,0.1,0.412,0.291,0.751,12.26497917,0.173,5.25888,4.6,48,28,7.2,3.3
5,Jason Kidd,25,PHO,159,1180,0.135,82,44.28,14,41.2,16.9,6.8,10.8,2.3,0.4,0.444,0.366,0.757,13.23206667,0.188,6.695,5.8,50,27,8.1,4.1
6,Shaquille O'Neal,26,LAL,89,1180,0.075,80.36,50.84,9,34.8,26.3,10.7,2.3,0.7,1.7,0.576,0,0.54,15.15975,0.255,5.779207,6.3,49,31,9,3.6
7,Chris Webber,25,SAC,51,1180,0.043,68.88,44.28,15,40.9,20,13,4.1,1.4,2.1,0.486,0.118,0.454,7.126825,0.102,3.00615,3,42,27,3.6,2.1
8,Grant Hill,26,DET,39,1180,0.033,82,47.56,10,37,21.1,7.1,6,1.6,0.5,0.479,0,0.752,11.946375,0.189,6.166666667,6,50,29,7.3,3.8
9,Gary Payton,30,SEA,35,1180,0.03,82,41,18,40.2,21.7,4.9,8.7,2.2,0.2,0.434,0.295,0.721,11.8121,0.172,6.1975,5.4,50,25,7.2,3.8
10,Kevin Garnett,22,MIN,9,1180,0.008,77.08,41,17,37.9,20.8,10.4,4.3,1.7,1.8,0.46,0.286,0.704,9.452891667,0.146,5.372103917,5.7,47,25,5.4,3.5
1,Shaquille O'Neal,27,LAL,1207,1210,0.998,79,67,1,40,29.7,13.6,3.8,0.5,3,0.574,0,0.524,18.6,0.283,9.3,9.7,,,,
2,Kevin Garnett,23,MIN,408,1210,0.337,81,50,8,40,22.9,11.8,5,1.5,1.6,0.497,0.37,0.765,11.6,0.172,6.6,6.1,,,,
3,Alonzo Mourning,29,MIA,367,1210,0.303,79,52,7,34.8,21.7,9.5,1.6,0.5,3.7,0.551,0,0.711,12.9,0.226,4.6,4.6,,,,
4,Karl Malone,36,UTA,312,1210,0.258,82,55,4,35.9,25.5,9.5,3.7,1,0.9,0.509,0.25,0.797,15.3,0.249,6.6,6.9,,,,
5,Tim Duncan,23,SAS,248,1210,0.205,74,53,6,38.9,23.2,12.4,3.2,0.9,2.2,0.49,0.091,0.761,13,0.218,5.9,6.1,,,,
6,Gary Payton,31,SEA,180,1210,0.149,82,45,12,41.8,24.2,6.5,8.9,1.9,0.2,0.448,0.34,0.735,13.9,0.195,7.6,6.8,,,,
7,Allen Iverson,24,PHI,132,1210,0.109,70,49,11,40.8,28.4,3.8,4.7,2.1,0.1,0.421,0.341,0.713,6.9,0.116,3.3,2.6,,,,
8,Grant Hill,27,DET,113,1210,0.093,74,42,15,37.5,25.8,6.6,5.2,1.4,0.6,0.489,0.347,0.795,10.7,0.185,4.7,4.8,,,,
9,Chris Webber,26,SAC,96,1210,0.079,75,44,14,38.4,24.5,10.5,4.6,1.6,1.7,0.483,0.284,0.751,10.7,0.179,5.7,5.9,,,,
10,Vince Carter,23,TOR,51,1210,0.042,82,45,13,38.1,25.7,5.8,3.9,1.3,1.1,0.465,0.403,0.791,11.8,0.182,5.2,4.6,,,,
1,Allen Iverson,25,PHI,1121,1240,0.904,71,56,3,42,31.1,3.8,4.6,2.5,0.3,0.42,0.32,0.814,11.8,0.19,5.1,4.8,,,,
2,Tim Duncan,24,SAS,706,1240,0.569,82,56,1,38.7,22.2,12.2,3,0.9,2.3,0.499,0.259,0.618,13.2,0.2,5.9,5.4,,,,
3,Shaquille O'Neal,28,LAL,578,1240,0.466,74,56,2,39.5,28.7,12.7,3.7,0.6,2.8,0.572,0,0.513,14.9,0.245,5.8,7.3,,,,
4,Chris Webber,27,SAC,521,1240,0.42,70,55,4,40.5,27.1,11.1,4.2,1.3,1.7,0.481,0.071,0.703,11,0.186,4.9,4.9,,,,
5,Kevin Garnett,24,MIN,151,1240,0.122,81,47,12,39.5,22,11.4,5,1.4,1.8,0.477,0.288,0.764,11.8,0.176,6.2,5.7,,,,
6,Tracy McGrady,21,ORL,64,1240,0.052,77,43,17,40.1,26.8,7.5,4.6,1.5,1.5,0.457,0.355,0.733,12.2,0.189,5.9,5.6,,,,
7,Karl Malone,37,UTA,21,1240,0.017,81,53,6,35.7,23.2,8.3,4.5,1.1,0.8,0.498,0.4,0.793,13.1,0.217,5.8,5.9,,,,
8,Jason Kidd,27,PHO,18,1240,0.015,77,51,8,39.8,16.9,6.4,9.8,2.2,0.3,0.411,0.297,0.814,9.6,0.15,5.3,4.8,,,,
9,Kobe Bryant,22,LAL,11,1240,0.009,68,56,2,40.9,28.5,5.9,5,1.7,0.6,0.464,0.305,0.853,11.3,0.196,4.4,4.2,,,,
10,David Robinson,35,SAS,8,1240,0.006,80,56,1,29.6,14.4,8.6,1.5,1,2.5,0.486,0,0.747,12.1,0.246,4.5,5.5,,,,
1,Tim Duncan,25,SAS,954,1260,0.757,82,58,3,40.6,25.5,12.7,3.7,0.7,2.5,0.508,0.1,0.799,17.8,0.257,8.1,7.6,,,,
2,Jason Kidd,28,NJN,897,1260,0.712,82,52,5,37.3,14.7,7.3,9.9,2.1,0.2,0.391,0.321,0.814,8.9,0.14,5.4,5.1,,,,
3,Shaquille O'Neal,29,LAL,696,1260,0.552,67,58,2,36.1,27.2,10.7,3,0.6,2,0.579,0,0.555,13.2,0.262,5.5,7,,,,
4,Tracy McGrady,22,ORL,390,1260,0.31,76,44,12,38.3,25.6,7.9,5.3,1.6,1,0.451,0.364,0.748,11.5,0.189,5.9,6,,,,
5,Kobe Bryant,23,LAL,98,1260,0.078,80,58,2,38.3,25.2,5.5,5.5,1.5,0.4,0.469,0.25,0.829,12.7,0.199,5,4.4,,,,
6,Gary Payton,33,SEA,54,1260,0.043,82,45,10,40.3,22.1,4.8,9,1.6,0.3,0.467,0.314,0.797,12.6,0.183,5.5,4.6,,,,
7,Chris Webber,28,SAC,37,1260,0.029,54,61,1,38.4,24.5,10.1,4.8,1.7,1.4,0.495,0.263,0.749,8.6,0.2,4.3,6.2,,,,
8,Dirk Nowitzki,23,DAL,31,1260,0.025,76,57,4,38,23.4,9.9,2.4,1.1,1,0.477,0.397,0.853,13.4,0.222,4.8,4.7,,,,
9,Allen Iverson,26,PHI,29,1260,0.023,60,43,14,43.7,31.4,4.5,5.5,2.8,0.2,0.398,0.291,0.812,6.9,0.126,3.9,3.8,,,,
10,Ben Wallace,27,DET,24,1260,0.019,80,50,6,36.5,7.6,13,1.4,1.7,3.5,0.531,0,0.423,11.6,0.19,5.9,5.9,,,,
1,Tim Duncan,26,SAS,962,1190,0.808,81,60,2,39.3,23.3,12.9,3.9,0.7,2.9,0.513,0.273,0.71,16.5,0.248,7.6,7.4,,,,
2,Kevin Garnett,26,MIN,871,1190,0.732,82,51,4,40.5,23,13.4,6,1.4,1.6,0.502,0.282,0.751,15.6,0.225,9,8.7,,,,
3,Kobe Bryant,24,LAL,496,1190,0.417,82,50,6,41.5,30,6.9,5.9,2.2,0.8,0.451,0.383,0.843,14.9,0.21,7.1,6.4,,,,
4,Tracy McGrady,23,ORL,427,1190,0.359,75,42,17,39.4,32.1,6.5,5.5,1.7,0.8,0.457,0.386,0.793,16.1,0.262,8.7,9.7,,,,
5,Shaquille O'Neal,30,LAL,126,1190,0.106,67,50,6,37.8,27.5,11.1,3.1,0.6,2.4,0.574,0,0.622,13.2,0.25,5.3,6.3,,,,
6,Allen Iverson,27,PHI,83,1190,0.07,82,48,10,42.5,27.6,4.2,5.5,2.7,0.2,0.414,0.277,0.774,9.2,0.127,4.2,2.8,,,,
7,Dirk Nowitzki,24,DAL,43,1190,0.036,80,60,1,39,25.1,9.9,3,1.4,1,0.463,0.379,0.881,16.1,0.249,6.1,5.7,,,,
8,Ben Wallace,28,DET,33,1190,0.028,73,50,5,39.4,6.9,15.4,1.6,1.4,3.2,0.481,0.167,0.45,10.6,0.176,5.1,5.1,,,,
9,Jason Kidd,29,NJN,31,1190,0.026,80,49,8,37.4,18.7,6.3,8.9,2.2,0.3,0.414,0.341,0.841,11.3,0.182,6.7,6.9,,,,
10,Chris Webber,29,SAC,19,1190,0.016,67,59,3,39.1,23,10.5,5.4,1.6,1.3,0.461,0.238,0.607,6.9,0.127,3.8,3.8,,,,
1,Kevin Garnett,27,MIN,1219,1230,0.991,82,58,2,39.4,24.2,13.9,5,1.5,2.2,0.499,0.256,0.791,18.3,0.272,9.8,9.9,,,,
2,Tim Duncan,27,SAS,716,1230,0.582,69,57,3,36.6,22.3,12.4,3.1,0.9,2.7,0.501,0.167,0.599,13.1,0.249,5.9,7.3,,,,
3,Jermaine O'Neal,25,IND,523,1230,0.425,78,61,1,35.7,20.1,10,2.1,0.8,2.6,0.434,0.111,0.757,9,0.155,2.7,1.8,,,,
4,Peja Stojakovic,26,SAC,281,1230,0.228,81,55,5,40.3,24.2,6.3,2.1,1.3,0.2,0.48,0.433,0.927,13.5,0.198,4.7,3.7,,,,
5,Kobe Bryant,25,LAL,212,1230,0.172,65,56,4,37.6,24,5.5,5.1,1.7,0.4,0.438,0.327,0.852,10.7,0.21,4.7,5.7,,,,
6,Shaquille O'Neal,31,LAL,178,1230,0.145,67,56,4,36.8,21.5,11.5,2.9,0.5,2.5,0.584,0,0.49,9.9,0.192,4.6,5.4,,,,
7,Ben Wallace,29,DET,24,1230,0.02,81,54,6,37.7,9.5,12.4,1.7,1.8,3,0.421,0.125,0.49,10.2,0.16,5.5,5.1,,,,
8,Jason Kidd,30,NJN,17,1230,0.014,67,47,9,36.6,15.5,6.4,9.2,1.8,0.2,0.384,0.321,0.827,7.2,0.141,4.1,4.5,,,,
9,LeBron James,19,CLE,11,1230,0.009,79,35,21,39.5,20.9,5.5,5.9,1.6,0.7,0.417,0.29,0.754,5.1,0.078,3.1,1.9,,,,
1,Steve Nash,30,PHO,1066,1270,0.839,75,62,1,34.3,15.5,3.3,11.5,1,0.1,0.502,0.431,0.887,10.9,0.203,2.4,1.7,,,,
2,Shaquille O'Neal,32,MIA,1032,1270,0.813,73,59,2,34.1,22.9,10.4,2.7,0.5,2.3,0.601,0,0.461,11,0.211,4.7,5.6,,,,
3,Dirk Nowitzki,26,DAL,349,1270,0.275,78,58,4,38.7,26.1,9.7,3.1,1.2,1.5,0.459,0.399,0.869,15.6,0.248,5.9,5.7,,,,
4,Tim Duncan,28,SAS,328,1270,0.258,66,59,3,33.4,20.3,11.1,2.7,0.7,2.6,0.496,0.333,0.67,11.2,0.245,4.7,6.4,,,,
5,Allen Iverson,29,PHI,240,1270,0.189,75,43,16,42.3,30.7,4,7.9,2.4,0.1,0.424,0.308,0.835,9,0.136,5,4.3,,,,
6,LeBron James,20,CLE,93,1270,0.073,80,42,18,42.4,27.2,7.4,7.2,2.2,0.7,0.472,0.351,0.75,14.3,0.203,8.8,8.3,,,,
7,Tracy McGrady,25,HOU,44,1270,0.035,78,51,7,40.8,25.7,6.2,5.7,1.7,0.7,0.431,0.326,0.774,12,0.18,7,6.8,,,,
8,Dwyane Wade,23,MIA,43,1270,0.034,77,59,2,38.6,24.1,5.2,6.8,1.6,1.1,0.478,0.289,0.762,11,0.177,4.8,4.4,,,,
9,Amar'e Stoudemire,22,PHO,41,1270,0.032,80,62,1,36.1,26,8.9,1.6,1,1.6,0.559,0.188,0.733,14.6,0.243,3.9,3.4,,,,
9,Ray Allen,29,SEA,41,1270,0.032,78,52,6,39.3,23.9,4.4,3.7,1.1,0.1,0.428,0.376,0.883,10.7,0.168,4.4,3.7,,,,
1,Steve Nash,31,PHO,924,1250,0.739,79,54,4,35.4,18.8,4.2,10.5,0.8,0.2,0.512,0.439,0.921,12.4,0.212,4,3.7,,,,
