Rank,Player,Age,Tm,Pts Won,Pts Max,Share,G,Team Wins,Overall Seed,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,VORP,BPM,G-Lockout,Wins-Lockout,WS-Lockout,VORP-Lockout
2,LeBron James,21,CLE,688,1250,0.55,79,50,6,42.5,31.4,7,6.6,1.6,0.8,0.48,0.335,0.738,16.3,0.232,9.5,9.3,,,,
3,Dirk Nowitzki,27,DAL,544,1250,0.435,81,60,3,38.1,26.6,9,2.8,0.7,1,0.48,0.406,0.901,17.7,0.275,6,5.7,,,,
4,Kobe Bryant,27,LAL,483,1250,0.386,80,45,10,41,35.4,5.3,4.5,1.8,0.4,0.45,0.347,0.85,15.3,0.224,6.5,5.8,,,,
5,Chauncey Billups,29,DET,430,1250,0.344,81,64,1,36.1,18.5,3.1,8.6,0.9,0.1,0.418,0.433,0.894,15.5,0.254,4.9,4.7,,,,
6,Dwyane Wade,24,MIA,87,1250,0.07,75,52,5,38.6,27.2,5.7,6.7,1.9,0.8,0.495,0.171,0.783,14.4,0.239,7,7.5,,,,
7,Elton Brand,26,LAC,50,1250,0.04,79,47,9,39.2,24.7,10,2.6,1,2.5,0.527,0.333,0.775,14.8,0.229,6.5,6.3,,,,
8,Tim Duncan,29,SAS,33,1250,0.026,80,63,2,34.8,18.6,11,3.2,0.9,2,0.484,0.4,0.629,10.8,0.187,4.6,4.6,,,,
9,Tony Parker,23,SAS,9,1250,0.007,80,63,2,33.9,18.9,3.3,5.8,1,0.1,0.548,0.306,0.707,9.6,0.169,3.1,2.6,,,,
1,Dirk Nowitzki,28,DAL,1138,1290,0.882,78,67,1,36.2,24.6,8.9,3.4,0.7,0.8,0.502,0.416,0.904,16.3,0.278,6.2,6.7,,,,
2,Steve Nash,32,PHO,1013,1290,0.785,76,61,2,35.3,18.6,3.5,11.6,0.8,0.1,0.532,0.455,0.899,12.6,0.225,3.9,3.8,,,,
3,Kobe Bryant,28,LAL,521,1290,0.404,77,42,13,40.8,31.6,5.7,5.4,1.4,0.5,0.463,0.344,0.868,13,0.199,5.3,4.7,,,,
4,Tim Duncan,30,SAS,286,1290,0.222,80,58,3,34.1,20,10.6,3.4,0.8,2.4,0.546,0.111,0.637,13,0.23,6.3,7.1,,,,
5,LeBron James,22,CLE,183,1290,0.142,78,50,7,40.9,27.3,6.7,6,1.6,0.7,0.476,0.319,0.698,13.7,0.206,7.6,7.4,,,,
6,Tracy McGrady,27,HOU,110,1290,0.085,71,52,5,35.8,24.6,5.3,6.5,1.3,0.5,0.431,0.331,0.707,8.6,0.163,5.2,6.2,,,,
7,Chris Bosh,22,TOR,43,1290,0.033,69,47,9,38.5,22.6,10.7,2.5,0.6,1.3,0.496,0.343,0.785,9.6,0.174,3.1,2.6,,,,
8,Gilbert Arenas,25,WAS,31,1290,0.024,74,41,15,39.8,28.4,4.6,6,1.9,0.2,0.418,0.351,0.844,10.8,0.177,5.2,5,,,,
9,Carlos Boozer,25,UTA,7,1290,0.005,74,51,6,34.6,20.9,11.7,3,0.9,0.3,0.561,0,0.685,9.9,0.185,4.3,4.6,,,,
9,Kevin Garnett,30,MIN,7,1290,0.005,76,32,24,39.4,22.4,12.8,4.1,1.2,1.7,0.476,0.214,0.835,10.7,0.171,5.2,5,,,,
1,Kobe Bryant,29,LAL,1100,1260,0.873,82,57,3,38.9,28.3,6.3,5.4,1.8,0.5,0.459,0.361,0.84,13.8,0.208,6,5.4,,,,
2,Chris Paul,22,NOH,894,1260,0.71,80,56,4,37.6,21.1,4,11.6,2.7,0.1,0.488,0.369,0.851,17.8,0.284,8.5,9.2,,,,
3,Kevin Garnett,31,BOS,670,1260,0.532,71,66,1,32.8,18.8,9.2,3.4,1.4,1.3,0.539,0,0.801,12.9,0.265,5.5,7.4,,,,
4,LeBron James,23,CLE,438,1260,0.348,75,45,13,40.4,30,7.9,7.2,1.8,1.1,0.484,0.315,0.712,15.2,0.242,10.1,11.2,,,,
5,Dwight Howard,22,ORL,60,1260,0.048,82,52,9,37.7,20.7,14.2,1.3,0.9,2.1,0.599,0,0.59,12.9,0.2,3.3,2.2,,,,
6,Amar'e Stoudemire,25,PHO,27,1260,0.021,79,55,7,33.9,25.2,9.1,1.5,0.8,2.1,0.59,0.161,0.805,14.6,0.262,4,3.9,,,,
7,Tim Duncan,31,SAS,25,1260,0.02,78,56,5,34,19.3,11.3,2.8,0.7,1.9,0.497,0,0.73,11.1,0.201,4.5,4.7,,,,
8,Tracy McGrady,28,HOU,19,1260,0.015,66,55,6,37,21.6,5.1,5.9,1,0.5,0.419,0.292,0.684,5.8,0.115,2.7,2.4,,,,
9,Steve Nash,33,PHO,18,1260,0.014,81,55,7,34.3,16.9,3.5,11.1,0.7,0.1,0.504,0.47,0.906,10.5,0.181,2.6,1.6,,,,
10,Manu Ginobili,30,SAS,9,1260,0.007,74,56,5,31.1,19.5,4.8,4.5,1.5,0.4,0.46,0.401,0.86,11.1,0.232,5.9,8.1,,,,
1,LeBron James,24,CLE,1172,1210,0.969,81,66,1,37.7,28.4,7.6,7.2,1.7,1.1,0.489,0.344,0.78,20.3,0.318,11.6,13,,,,
2,Kobe Bryant,30,LAL,698,1210,0.577,82,65,2,36.1,26.8,5.2,4.9,1.5,0.5,0.467,0.351,0.856,12.7,0.206,4.9,4.5,,,,
3,Dwyane Wade,27,MIA,680,1210,0.562,79,43,14,38.6,30.2,5,7.5,2.2,1.3,0.491,0.317,0.765,14.7,0.232,9.7,10.7,,,,
4,Dwight Howard,23,ORL,328,1210,0.271,79,59,4,35.7,20.6,13.8,1.4,1,2.9,0.572,0,0.594,13.8,0.234,4.6,4.4,,,,
5,Chris Paul,23,NOH,192,1210,0.159,78,49,10,38.5,22.8,5.5,11,2.8,0.1,0.503,0.364,0.868,18.3,0.292,10,11.2,,,,
6,Chauncey Billups,32,TOT,33,1210,0.027,79,55,5,35.3,17.7,3,6.4,1.2,0.2,0.418,0.408,0.913,10.1,0.174,3.2,2.5,,,,
7,Paul Pierce,31,BOS,21,1210,0.017,81,62,3,37.5,20.5,5.6,3.6,1,0.3,0.457,0.391,0.83,10.3,0.164,3.4,2.5,,,,
8,Tony Parker,26,SAS,9,1210,0.007,72,54,7,34.1,22,3.1,6.9,0.9,0.1,0.506,0.292,0.782,8.6,0.168,3.2,3.1,,,,
9,Brandon Roy,24,POR,7,1210,0.006,78,54,6,37.2,22.6,4.7,5.1,1.1,0.3,0.48,0.377,0.824,13.5,0.223,5.7,5.8,,,,
10,Dirk Nowitzki,30,DAL,3,1210,0.002,81,50,9,37.7,25.9,8.4,2.4,0.8,0.8,0.479,0.359,0.89,10.9,0.171,2.4,1.2,,,,
1,LeBron James,25,CLE,1205,1230,0.98,76,61,1,39,29.7,7.3,8.6,1.6,1,0.503,0.333,0.767,18.5,0.299,10.9,12.5,,,,
2,Kevin Durant,21,OKC,609,1230,0.495,82,50,10,39.5,30.1,7.6,2.8,1.4,1,0.476,0.365,0.9,16.1,0.238,5.8,5.1,,,,
3,Kobe Bryant,31,LAL,599,1230,0.487,73,57,3,38.8,27,5.4,5,1.5,0.3,0.456,0.329,0.811,9.4,0.16,4,3.6,,,,
4,Dwight Howard,24,ORL,478,1230,0.389,82,59,2,34.7,18.3,13.2,1.8,0.9,2.8,0.612,0,0.592,13.2,0.223,5.4,5.5,,,,
5,Dwyane Wade,28,MIA,119,1230,0.097,77,47,13,36.3,26.6,4.8,6.5,1.8,1.1,0.476,0.3,0.761,13,0.224,8,9.4,,,,
6,Carmelo Anthony,25,DEN,65,1230,0.053,69,53,7,38.2,28.2,6.6,3.2,1.3,0.4,0.458,0.316,0.83,7.9,0.145,2.3,1.4,,,,
7,Dirk Nowitzki,31,DAL,55,1230,0.045,81,55,4,37.5,25,7.7,2.7,0.9,1,0.481,0.421,0.915,12.3,0.194,3.5,2.6,,,,
8,Steve Nash,35,PHO,49,1230,0.04,81,54,5,32.8,16.5,3.3,11,0.5,0.1,0.507,0.426,0.938,9.9,0.178,2.6,1.8,,,,
9,Deron Williams,25,UTA,7,1230,0.006,76,53,8,36.9,18.7,4,10.5,1.3,0.2,0.469,0.371,0.801,10.3,0.177,3.7,3.3,,,,
10,Amar'e Stoudemire,27,PHO,5,1230,0.004,82,54,5,34.6,23.1,8.9,1,0.6,1,0.557,0.167,0.771,10.7,0.181,1.6,0.3,,,,
1,Derrick Rose,22,CHI,1182,1210,0.977,81,62,1,37.4,25,4.1,7.7,1,0.6,0.445,0.332,0.858,13.1,0.208,6,5.9,,,,
2,Dwight Howard,25,ORL,643,1210,0.531,78,52,8,37.6,22.9,14.1,1.4,1.4,2.4,0.593,0,0.596,14.4,0.235,5,4.8,,,,
3,LeBron James,26,MIA,522,1210,0.431,79,58,3,38.8,26.7,7.5,7,1.6,0.6,0.51,0.33,0.759,15.6,0.244,8.2,8.6,,,,
4,Kobe Bryant,32,LAL,428,1210,0.354,82,57,5,33.9,25.3,5.1,4.7,1.2,0.1,0.451,0.323,0.828,10.3,0.178,4.1,3.8,,,,
5,Kevin Durant,22,OKC,190,1210,0.157,78,55,7,38.9,27.7,6.8,2.7,1.1,1,0.462,0.35,0.88,12,0.189,3.7,2.9,,,,
6,Dirk Nowitzki,32,DAL,113,1210,0.093,73,57,4,34.3,23,7,2.6,0.5,0.6,0.517,0.393,0.892,11.1,0.213,3.7,3.8,,,,
7,Dwyane Wade,29,MIA,24,1210,0.02,76,58,3,37.1,25.5,6.4,4.6,1.5,1.1,0.5,0.306,0.758,12.8,0.218,5.7,5.9,,,,
8,Manu Ginobili,33,SAS,20,1210,0.017,80,61,2,30.3,17.4,3.7,4.9,1.5,0.4,0.433,0.349,0.871,9.9,0.195,4.5,5.3,,,,
9,Amar'e Stoudemire,28,NYK,9,1210,0.007,78,42,15,36.8,25.3,8.2,2.6,0.9,1.9,0.502,0.435,0.792,8,0.134,1.9,0.7,,,,
10,Blake Griffin,21,LAC,5,1210,0.004,82,32,23,38,22.5,12.1,3.8,0.8,0.5,0.506,0.292,0.642,9.8,0.152,4,3.2,,,,
10,Rajon Rondo,24,BOS,5,1210,0.004,68,56,6,37.2,10.6,4.4,11.2,2.3,0.2,0.475,0.233,0.568,6.6,0.126,2.5,2,,,,
1,LeBron James,27,MIA,1074,1210,0.888,77.03030303,57.15151515,4,37.5,27.1,7.9,6.2,1.9,0.8,0.531,0.362,0.771,19.090625,0.298,11.83049242,11,62,46,14.5,7.6
2,Kevin Durant,23,OKC,889,1210,0.735,82,58.39393939,3,38.6,28,8,3.5,1.3,1.2,0.496,0.387,0.86,15.16658333,0.23,7.6428,5.2,66,47,12.2,4.6
3,Chris Paul,26,LAC,385,1210,0.318,74.54545455,49.6969697,9,36.4,19.8,3.6,9.1,2.5,0.1,0.478,0.371,0.861,17.28696667,0.278,8.19,7.9,60,40,12.7,5.4
4,Kobe Bryant,33,LAL,352,1210,0.291,72.06060606,50.93939394,6,38.5,27.9,5.4,4.6,1.2,0.3,0.43,0.303,0.845,8.68175,0.132,3.515847222,2.3,58,41,6.2,2.4
5,Tony Parker,29,SAS,331,1210,0.274,74.54545455,62.12121212,2,32.1,18.3,2.9,7.7,1,0.1,0.48,0.23,0.799,9.7062375,0.177,2.699318182,1.7,60,50,7.1,1.8
6,Kevin Love,23,MIN,58,1210,0.048,68.33333333,32.3030303,21,39,26,13.3,2,0.9,0.5,0.448,0.372,0.824,14.857375,0.223,4.841145833,4.5,55,26,10,3.5
7,Dwight Howard,26,ORL,13,1210,0.011,67.09090909,45.96969697,12,38.3,20.6,14.5,1.9,1.5,2.1,0.573,0,0.491,11.71182083,0.179,4.089395455,3.8,54,37,7.7,3
8,Rajon Rondo,25,BOS,12,1210,0.01,65.84848485,48.45454545,10,36.9,11.9,4.8,11.7,1.8,0.1,0.448,0.238,0.597,7.6275375,0.121,2.15941875,1.3,53,39,4.9,1.6
9,Steve Nash,37,PHO,7,1210,0.006,77.03030303,41,18,31.6,12.5,3,10.7,0.6,0.1,0.532,0.39,0.894,7.7736,0.144,1.150287879,-0.5,62,33,5.9,0.7
10,Dwyane Wade,30,MIA,6,1210,0.005,60.87878788,57.15151515,4,33.2,22.1,4.8,4.6,1.7,1.3,0.497,0.268,0.791,12.87468333,0.227,4.176891162,6.3,49,46,7.7,3.4
1,LeBron James,28,MIA,1207,1210,0.998,76,66,1,37.9,26.8,8,7.3,1.7,0.9,0.565,0.406,0.753,19.3,0.322,9.8,11.6,,,,
2,Kevin Durant,24,OKC,765,1210,0.632,81,60,2,38.5,28.1,7.9,4.6,1.4,1.3,0.51,0.416,0.905,18.9,0.291,7.6,7.7,,,,
3,Carmelo Anthony,28,NYK,475,1210,0.393,67,54,7,37,28.7,6.9,2.6,0.8,0.5,0.449,0.379,0.83,9.5,0.184,2.8,2.4,,,,
4,Chris Paul,27,LAC,289,1210,0.239,70,56,5,33.4,16.9,3.7,9.7,2.4,0.1,0.481,0.328,0.885,13.9,0.287,5.6,7.5,,,,
5,Kobe Bryant,34,LAL,184,1210,0.152,78,45,13,38.6,27.3,5.6,6,1.4,0.3,0.463,0.324,0.839,10.9,0.174,5.1,4.7,,,,
6,Tony Parker,30,SAS,86,1210,0.071,66,58,3,32.9,20.3,3,7.6,0.8,0.1,0.522,0.353,0.845,9.3,0.206,2.6,2.7,,,,
7,Tim Duncan,36,SAS,65,1210,0.054,69,58,3,30.1,17.8,9.9,2.7,0.7,2.7,0.502,0.286,0.817,8.3,0.191,3.2,4.1,,,,
8,James Harden,23,HOU,33,1210,0.027,78,45,12,38.3,25.9,4.9,5.8,1.8,0.5,0.438,0.368,0.851,12.8,0.206,5.7,5.5,,,,
9,Russell Westbrook,24,OKC,9,1210,0.007,82,60,2,34.9,23.2,5.2,7.4,1.8,0.3,0.438,0.323,0.8,11.6,0.195,5.1,5,,,,
10,Dwyane Wade,31,MIA,5,1210,0.004,69,66,1,34.7,21.2,5,5.1,1.9,0.8,0.521,0.258,0.725,9.6,0.192,3.5,3.9,,,,
1,Kevin Durant,25,OKC,1232,1250,0.986,81,59,2,38.5,32,7.4,5.5,1.3,0.7,0.503,0.391,0.873,19.2,0.295,8.5,8.8,,,,
2,LeBron James,29,MIA,891,1250,0.713,77,54,6,37.7,27.1,6.9,6.3,1.6,0.3,0.567,0.379,0.75,15.9,0.264,8,8.9,,,,
3,Blake Griffin,24,LAC,434,1250,0.347,80,57,3,35.8,24.1,9.5,3.9,1.2,0.6,0.528,0.273,0.715,12.2,0.205,4.8,4.6,,,,
4,Joakim Noah,28,CHI,322,1250,0.258,80,48,11,35.3,12.6,11.3,5.4,1.2,1.5,0.475,0,0.737,11.2,0.19,6.1,6.6,,,,
5,James Harden,24,HOU,85,1250,0.068,73,54,5,38,25.4,4.7,6.1,1.6,0.4,0.456,0.366,0.866,12.8,0.221,5.4,5.7,,,,
6,Stephen Curry,25,GSW,66,1250,0.053,78,51,8,36.5,24,4.3,8.5,1.6,0.2,0.471,0.424,0.885,13.4,0.225,6.7,7.4,,,,
7,Chris Paul,28,LAC,45,1250,0.036,62,57,3,35,19.1,4.3,10.7,2.5,0.1,0.467,0.368,0.855,12.2,0.27,5.2,7.4,,,,
8,Al Jefferson,29,CHA,34,1250,0.027,73,43,16,35,21.8,10.8,2.1,0.9,1.1,0.509,0.2,0.69,7.8,0.146,2.5,1.8,,,,
9,Paul George,23,IND,33,1250,0.026,80,56,4,36.2,21.7,6.8,3.5,1.9,0.3,0.424,0.364,0.864,10.8,0.178,4.9,4.7,,,,
10,LaMarcus Aldridge,28,POR,26,1250,0.021,69,54,7,36.2,23.2,11.1,2.6,0.9,1,0.458,0.2,0.822,7.5,0.144,1.5,0.3,,,,
1,Stephen Curry,26,GSW,1198,1300,0.922,80,67,1,32.7,23.8,4.3,7.7,2,0.2,0.487,0.443,0.914,15.7,0.288,7.9,9.9,,,,
2,James Harden,25,HOU,936,1300,0.72,81,56,3,36.8,27.4,5.7,7,1.9,0.7,0.44,0.375,0.868,16.4,0.265,7.8,8.4,,,,
3,LeBron James,30,CLE,552,1300,0.425,69,53,7,36.1,25.3,6,7.4,1.6,0.7,0.488,0.354,0.71,10.4,0.199,5.9,7.4,,,,
4,Russell Westbrook,26,OKC,352,1300,0.271,67,45,14,34.4,28.1,7.3,8.6,2.1,0.2,0.426,0.299,0.835,10.6,0.222,7.6,11,,,,
5,Anthony Davis,21,NOP,203,1300,0.156,68,45,13,36.1,24.4,10.2,2.2,1.5,2.9,0.535,0.083,0.805,14,0.274,5.7,7.1,,,,
6,Chris Paul,29,LAC,124,1300,0.095,82,56,4,34.8,19.1,4.6,10.2,1.9,0.2,0.485,0.398,0.9,16.1,0.27,6.9,7.5,,,,
7,LaMarcus Aldridge,29,POR,6,1300,0.005,71,51,8,35.4,23.4,10.2,1.7,0.7,1,0.466,0.352,0.845,8.6,0.165,1.4,0.3,,,,
8,Marc Gasol,30,MEM,3,1300,0.002,81,55,5,33.2,17.4,7.8,3.8,0.9,1.6,0.494,0.176,0.795,10.2,0.182,4.6,4.8,,,,
8,Blake Griffin,25,LAC,3,1300,0.002,67,56,4,35.2,21.9,7.6,5.3,0.9,0.5,0.502,0.4,0.728,9,0.183,3.6,4.1,,,,
1,Stephen Curry,27,GSW,1310,1310,1,79,73,1,34.2,30.1,5.4,6.7,2.1,0.2,0.504,0.454,0.908,17.9,0.318,9.8,12.5,,,,
2,Kawhi Leonard,24,SAS,634,1310,0.484,72,67,2,33.1,21.2,6.8,2.6,1.8,1,0.506,0.443,0.874,13.7,0.277,6.2,8.3,,,,
3,LeBron James,31,CLE,631,1310,0.482,76,57,3,35.6,25.3,7.4,6.8,1.4,0.6,0.52,0.309,0.731,13.6,0.242,7.6,9.1,,,,
4,Russell Westbrook,27,OKC,486,1310,0.371,80,55,5,34.4,23.5,7.8,10.4,2,0.3,0.454,0.296,0.812,14,0.245,8.3,10,,,,
5,Kevin Durant,27,OKC,147,1310,0.112,72,55,5,35.8,28.2,8.2,5,1,1.2,0.505,0.387,0.898,14.5,0.27,6.4,7.9,,,,
6,Chris Paul,30,LAC,107,1310,0.082,74,53,6,32.7,19.5,4.2,10,2.1,0.2,0.462,0.371,0.896,12.7,0.253,6,7.8,,,,
7,Draymond Green,25,GSW,50,1310,0.038,81,73,1,34.7,14,9.5,7.4,1.5,1.4,0.49,0.388,0.696,11.1,0.19,5.5,5.8,,,,
8,Damian Lillard,25,POR,26,1310,0.02,75,44,13,35.7,25.1,4,6.8,0.9,0.4,0.419,0.375,0.892,9.2,0.165,3.8,3.7,,,,
9,James Harden,26,HOU,9,1310,0.007,82,41,17,38.1,29,6.1,7.5,1.7,0.6,0.439,0.359,0.86,13.3,0.204,6.9,6.7,,,,
10,Kyle Lowry,29,TOR,6,1310,0.005,77,56,4,37,21.2,4.7,6.4,2.1,0.4,0.427,0.388,0.811,11.6,0.196,6.3,6.8,,,,
1,Russell Westbrook,28,OKC,888,1010,0.879,81,47,10,34.6,31.6,10.7,10.4,1.6,0.4,0.425,0.343,0.845,13.1,0.224,12.4,15.6,,,,
2,James Harden,27,HOU,753,1010,0.746,81,55,3,36.4,29.1,8.1,11.2,1.5,0.5,0.44,0.347,0.847,15,0.245,9,10.1,,,,
3,Kawhi Leonard,25,SAS,500,1010,0.495,74,61,2,33.4,25.5,5.8,3.5,1.8,0.7,0.485,0.38,0.88,13.6,0.264,6.2,7.9,,,,
4,LeBron James,32,CLE,333,1010,0.33,74,51,5,37.8,26.4,8.6,8.7,1.2,0.6,0.548,0.363,0.674,12.9,0.221,7.3,8.4,,,,
5,Isaiah Thomas,27,BOS,81,1010,0.08,76,53,4,33.8,28.9,2.7,5.9,0.9,0.2,0.463,0.379,0.909,12.5,0.234,4.8,5.4,,,,
6,Stephen Curry,28,GSW,52,1010,0.051,79,67,1,33.4,25.3,4.5,6.6,1.8,0.2,0.468,0.411,0.898,12.6,0.229,6.2,7.3,,,,
7,Giannis Antetokounmpo,22,MIL,7,1010,0.007,80,42,14,35.6,22.9,8.8,5.4,1.6,1.9,0.521,0.272,0.77,12.4,0.21,6.9,7.6,,,,
7,John Wall,26,WAS,7,1010,0.007,78,49,9,36.4,23.1,4.2,10.7,2,0.6,0.451,0.327,0.801,8.8,0.149,4.3,4.1,,,,
9,Anthony Davis,23,NOP,2,1010,0.002,75,34,21,36.1,28,11.8,2.1,1.3,2.2,0.505,0.299,0.802,11,0.195,3.9,3.7,,,,
9,Kevin Durant,28,GSW,2,1010,0.002,62,67,1,33.4,25.1,8.3,4.8,1.1,1.6,0.537,0.375,0.875,12,0.278,5.2,8,,,,
1,James Harden,28,HOU,965,1010,0.955,72,65,1,35.4,30.4,5.4,8.8,1.8,0.7,0.449,0.367,0.858,15.4,0.289,8.3,10.9,,,,
2,LeBron James,33,CLE,738,1010,0.731,82,50,6,36.9,27.5,8.6,9.1,1.4,0.9,0.542,0.367,0.731,14,0.221,8.9,9.6,,,,
3,Anthony Davis,24,NOP,445,1010,0.441,75,48,9,36.4,28.1,11.1,2.3,1.5,2.6,0.534,0.34,0.828,13.7,0.241,4.9,5.2,,,,
4,Damian Lillard,27,POR,207,1010,0.205,73,49,7,36.6,26.9,4.5,6.6,1.1,0.4,0.439,0.361,0.916,12.6,0.227,5.9,6.7,,,,
5,Russell Westbrook,29,OKC,76,1010,0.075,80,48,10,36.4,25.4,10.1,10.3,1.8,0.3,0.449,0.298,0.737,10.1,0.166,7.5,8.2,,,,
6,Giannis Antetokounmpo,23,MIL,75,1010,0.074,75,44,16,36.7,26.9,10,4.8,1.5,1.4,0.529,0.307,0.76,11.9,0.207,5.4,5.8,,,,
7,Kevin Durant,29,GSW,66,1010,0.065,68,58,3,34.2,26.4,6.8,5.4,0.7,1.8,0.516,0.419,0.889,10.4,0.215,4.5,5.6,,,,
8,DeMar DeRozan,28,TOR,32,1010,0.032,80,59,2,33.9,23,3.9,5.2,1.1,0.3,0.456,0.312,0.825,9.6,0.17,2.6,1.8,,,,
9,LaMarcus Aldridge,32,SAS,6,1010,0.006,75,47,13,33.5,23.1,8.5,2,0.6,1.2,0.51,0.293,0.837,10.9,0.209,3.3,3.3,,,,
10,Jimmy Butler,28,MIN,5,1010,0.005,59,47,12,36.7,22.2,5.3,4.9,2,0.4,0.474,0.35,0.854,8.9,0.198,3.8,5,,,,
10,Stephen Curry,29,GSW,5,1010,0.005,51,58,3,32,26.4,5.1,6.1,1.6,0.2,0.495,0.423,0.921,9.1,0.267,4.4,8.6,,,,
